ref  	        pigeon	00006	0.00541
ref  	        pigeon	00007	0.01557
ref  	        pigeon	00008	0.03686
ref  	        pigeon	00009	0.13275
ref  	        pigeon	00010	0.42170
ref  	        pigeon	00011	1.20322
ref  	        pigeon	00012	5.76976
ref  	        pigeon	00013	15.77225
ref  	        pigeon	00014	47.48962
ref  	        pigeon	00015	112.16236
ref  	        pigeon	00016	312.73734
